web-scraper-order,web-scraper-start-url,Week,recipieName,Date,MealType,recipeIngredients,recipeInstructions,recipeYield,NutritionInfo,recipieImage
"1694733886-57","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Pita pizza with olives & roasted veggies","19","Lunch","<li class=""form-group m-0"">Red bell pepper, raw, 1 medium, chopped (4.2oz) </li><li class=""form-group m-0"">Zucchini, ½ medium, cut into ½ inch pieces (3.5oz) </li><li class=""form-group m-0"">Olive oil spray, 6 x two-second spray(s) (0.4oz) </li><li class=""form-group m-0"">Dried mixed herbs, 3 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Whole-wheat pita, 2 large pita(s) (6-1/2"" dia) (4.5oz) </li><li class=""form-group m-0"">Tomato paste, 2 tbsp(s) (1.1oz) </li><li class=""form-group m-0"">Cheddar cheese, reduced-fat, shredded, ⅔ cup(s) (2.6oz) </li><li class=""form-group m-0"">Green olives, 24 olive(s) (2.3oz) </li><li class=""form-group m-0"">Basil, fresh, 8 leaf(s) (0.1oz) </li><li class=""form-group m-0"">Black pepper, 1 dash(es), to taste </li>","<p>Prepare Pita pizza with olives &amp; roasted veggies according to recipe instructions below.</p>
<p>Serve one pita for lunch today.&nbsp;Transfer remaining pizza to an airtight container and refrigerate for later in the week.</p><div><p><strong>Pita pizza with olives &amp; roasted veggies instructions</strong></p><div><p>Preheat oven to 400°F. Arrange bell pepper and zucchini in a small roasting pan. Spray twice with oil then sprinkle over the dried mixed herbs, turn to coat. Roast for 10 to 15 minutes or until vegetables are tender.</p>
<p>Spray both sides of each pita with oil and place on a baking sheet. Spread tomato paste on pitas. Sprinkle half the cheese over the pitas. Top with roasted vegetables and olives then sprinkle with remaining cheese.</p>
<p>Place baking sheet in the oven for 7 minutes until cheese has melted and pita pockets are warm. Sprinkle each with basil leaves. Season and serve.</p>
<p>TIPS:</p>
<ul>
    <li>The vegetables can be roasted up to 3 days ahead. Keep them in an airtight container in the fridge. If you're taking lunch to work, you can prepare the pizza to end of step 2, warm in the microwave or in a sandwich press at work. If heating in a sandwich press place the pizza between two sheets of parchment paper. If you like thinner crust-style pizza, you can flatten the pita pockets with a rolling pin before topping.</li>
    <li>If you're unable to find dried mixed herbs blend in the supermarket, you can make your own using this recipe:&nbsp;<a href=""https://diet.mayoclinic.org/us/member/menu-recipes/recipe-finder/?id=4054"">Dried mixed herbs</a>.</li>
</ul></div></div>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">422</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">19 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">6.3 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">28 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">1096 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">46.7 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">8.4 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">8 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">19.2 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=4d018afc-8c11-49de-abfd-3b7e7f136432&w=700"");"
"1694733886-58","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Cheese & spinach omelet","19","Dinner","<li class=""form-group m-0"">Eggs, 2 large (3.5oz) </li><li class=""form-group m-0"">Black pepper, 1 dash(es)  </li><li class=""form-group m-0"">Baby spinach, 1 cup(s) (0.7oz) </li><li class=""form-group m-0"">Cheddar cheese, reduced-fat, shredded, 1 tbsp(s) (0.2oz) </li><li class=""form-group m-0"">Extra virgin olive oil, 1 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Whole-grain bread, 1 slice(s), toasted (1.1oz) </li>","<p>Crack the eggs into a bowl, season with pepper and whisk. Stir in the baby spinach and cheddar cheese.</p>
<p>Heat the olive oil in a small non-stick skillet over medium heat and swirl to coat.</p>
<p>Pour in the egg mixture. Swirl the pan to evenly coat the base with the eggs. Using a spatula, lift the cooked egg and allow uncooked egg to flow underneath. Cook the egg mixture for about 3 minutes, until partially set. Flip with a spatula and cook for a further 2 to 3 minutes. Reduce heat to low, and continue cooking 2 to 3 minutes, or until done to your liking.&nbsp;</p>
<p>Once cooked, fold omelet in half and serve with warm toast.</p>","null","<tr><td>Calories</td><td class=""text-right text-nowrap"">288</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">16.7 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">4.9 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">377 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">340 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">15 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">2.4 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">1.9 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">19 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=ad2e44f4-cfad-428e-b764-a4fca6ab0917&w=700"");"
"1694733886-59","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Leftover Tomato & olive frittata","20","Breakfast","","<p>Reheat the leftover serving of the Tomato &amp; olive frittata and serve with 2 slices of toast for a quick and easy breakfast.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">380</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">18.6 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">3.9 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">317 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">744 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">35.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">5.3 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">7.1 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">18.7 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=91971ca4-9010-49c4-b832-79dc1be513ac&w=700"");"
"1694733886-60","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Roast beef & mustard wrap","20","Lunch","<li class=""form-group m-0"">Mustard, 2 tsp(s), e.g. wholegrain, dijon (0.4oz) </li><li class=""form-group m-0"">Extra virgin olive oil, 1 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Iceberg lettuce, 1 cup(s), shredded (2.5oz) </li><li class=""form-group m-0"">Sliced deli beef, reduced-sodium, 3 oz(s) (3oz) </li><li class=""form-group m-0"">Carrot, shredded, 4 tbsp(s) (1oz) </li><li class=""form-group m-0"">Cucumber, ½ medium, sliced (3.5oz) </li><li class=""form-group m-0"">Cherry tomatoes, 5 cherry tomato(es), halved (3oz) </li><li class=""form-group m-0"">Whole-wheat tortilla, 1 tortilla(s) (1.4oz) </li>","<p>In a small bowl, whisk together the mustard and olive oil. Place the lettuce in another bowl, drizzle with the mustard oil dressing. Toss to coat the leaves.</p>
<p>Lay the dressed lettuce, beef, carrot, cucumber and tomato in a row down the center of the tortilla. Season to taste. Tightly roll to make the wrap.</p>
<p>&nbsp;</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">320</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">12.4 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">3.8 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">43 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">891 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">31.7 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">7.6 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">8 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">22.3 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=c2bed6a2-fb2d-47e9-82d8-e3d13acc804b&w=700"");"
"1694733886-61","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Leftover Lentils with roast mushrooms & Mediterranean vegetables","20","Dinner","","<p>Reheat the leftover serving of the Lentils with roast mushrooms &amp; Mediterranean vegetables prepared earlier in the week. Scatter over leftover arugula and drizzle with 1 teaspoon of olive oil and serve.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">271</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">11 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">1.8 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">0 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">439 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">35.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">8.1 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">14.1 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">12.6 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=e91efddc-e0be-453e-8e55-f69637a309dd&w=700"");"
"1694733886-62","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Easy natural muesli","21","Breakfast","<li class=""form-group m-0"">Old fashioned (rolled) oats, 2 cup(s) (5.6oz) </li><li class=""form-group m-0"">Dried apple, 1¼ cup (3.8oz) </li><li class=""form-group m-0"">Hazelnuts, 20 nut(s), roughly chopped (1oz) </li><li class=""form-group m-0"">Shredded coconut, unsweetened, ¼ cup(s) (0.7oz) </li><li class=""form-group m-0"">Chia seeds, 1 tbsp(s) (0.4oz) </li><li class=""form-group m-0"">Non-fat plain Greek yogurt, 4 cup(s) (2lb) </li>","<p>Prepare Easy natural muesli according to recipe instructions and serve a portion for breakfast.</p>
<p>TIP: The Easy natural muesli recipe makes four serves, save leftover portions for use throughout the week.</p><div><p><strong>Easy natural muesli instructions</strong></p><div><p>Combine oats, apple, hazelnuts, coconut and chia seeds in a bowl and mix well. Store in an airtight container to use throughout the week.</p>
<p>To serve, scoop out about 1 cup of muesli and sprinkle over 1 cup of yogurt.</p>
<p>TIP: If preferred, serve muesli with half a cup of milk and half a cup of yogurt.</p></div></div>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">443</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">12.3 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">4.3 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">11 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">107 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">56.7 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">8.7 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">24 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">30.2 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=3c34066b-e420-457e-9027-5bb56ee452e9&w=700"");"
"1694733886-63","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Leftover Pita pizza with olives & roasted veggies","21","Lunch","","<p>Reheat the leftover Pita pizza with olives &amp; roasted veggies prepared earlier this week. Feel free to enjoy alongside a fresh salad.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">422</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">19 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">6.3 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">28 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">1096 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">46.7 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">8.4 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">8 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">19.2 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=4d018afc-8c11-49de-abfd-3b7e7f136432&w=700"");"
"1694733886-64","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Chicken stir-fry with greens","21","Dinner","<li class=""form-group m-0"">Extra virgin olive oil, 1 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Ginger, minced, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Garlic, minced, 2 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Chicken breast, raw, 3 oz(s), sliced (3oz) </li><li class=""form-group m-0"">Baby broccoli (broccolini), ½ bunch(es), trimmed and cut into 2-inch pieces (4.9oz) </li><li class=""form-group m-0"">Frozen peas, 1 oz(s), about 1/4 cup (1oz) </li><li class=""form-group m-0"">Zucchini, 1 medium, sliced (6.9oz) </li><li class=""form-group m-0"">Green onion, 1 medium, thinly sliced (0.5oz) </li><li class=""form-group m-0"">Sesame seeds, 1 tsp(s) (0.1oz) </li>","<p>Heat olive oil in a large non-stick frying pan or wok over medium-high heat. Add ginger, garlic and chicken and stir-fry for 5 minutes.</p>
<p>Add the broccolini, peas and a splash of water to the pan and stir fry for a further 2 minutes.</p>
<p>Add zucchini and green onion to the pan. Stir-fry for 1 minute, or until the chicken is cooked through.</p>
<p>Sprinkle with sesame seeds to serve.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">278</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">9.3 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">1.5 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">62 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">78 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">19.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">7.1 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">7.2 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">29.1 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=47595876-76bd-436f-9629-79f0721f8322&w=700"");"
"1694733886-65","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Leftover Easy natural muesli","22","Breakfast","","<p>Enjoy leftover Easy natural muesli for breakfast.</p>
<p>TIP: The Easy natural muesli recipe makes four serves, save leftover portions for use throughout the week.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">443</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">12.3 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">4.3 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">11 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">107 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">56.7 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">8.7 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">24 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">30.2 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=3c34066b-e420-457e-9027-5bb56ee452e9&w=700"");"
"1694733886-66","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Feta & salad wrap","22","Lunch","<li class=""form-group m-0"">Whole-wheat tortilla, 1 tortilla(s) (1.4oz) </li><li class=""form-group m-0"">Avocado, 2 tbsp(s) (1.1oz) </li><li class=""form-group m-0"">Baby spinach, 1 cup(s), or arugula if preferred (0.7oz) </li><li class=""form-group m-0"">Cucumber, ½ small, sliced (2.8oz) </li><li class=""form-group m-0"">Red bell pepper, chopped, 1 cup(s) (5.3oz) </li><li class=""form-group m-0"">Feta cheese, reduced-fat, crumbled, 1½ oz(s) (1.5oz) </li><li class=""form-group m-0"">Red onion, chopped, ¼ cup(s) (1.4oz) </li>","<p>Spread the avocado over the tortilla and top with spinach, cucumber, bell pepper, feta and red onion. Roll tightly to make a wrap.</p>
<p>TIP: Enjoy this wrap fresh, or toast in a sandwich press for a warm option.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">356</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">15.2 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">6.7 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">20 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">757 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">39.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">11 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">10.9 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">16.9 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=e655c512-0178-4ad7-abde-42ad76cbd6f0&w=700"");"
"1694733886-67","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Salmon with zucchini salad","22","Dinner","<li class=""form-group m-0"">Atlantic salmon, farmed, 3 oz(s) (3oz) </li><li class=""form-group m-0"">Extra virgin olive oil, 1 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Garlic, minced, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Zucchini, ½ medium, ribbons or shredded (3.5oz) </li><li class=""form-group m-0"">Cucumber, ½ medium, thin rounds (3.5oz) </li><li class=""form-group m-0"">Cherry tomatoes, 5 cherry tomato(es), halved (3oz) </li><li class=""form-group m-0"">Celery, 1 stalk(s), medium, finely chopped (1.4oz) </li><li class=""form-group m-0"">Baby spinach, 2 handful(s) (1.7oz) </li><li class=""form-group m-0"">Red onion, ¼ medium, thinly sliced (0.8oz) </li><li class=""form-group m-0"">Basil, fresh, 1 tbsp(s), chopped (0.1oz) </li><li class=""form-group m-0"">Red wine vinegar, 2 tsp(s) (0.4oz) </li><li class=""form-group m-0"">Lemon, ¼ medium, juiced (0.7oz) </li><li class=""form-group m-0"">Black pepper, 1 dash(es)  </li>","<p>Pat the salmon skin dry using a paper towel. Rub with oil and garlic. Set aside.</p>
<p>To make the salad, in a small bowl add zucchini, cucumber, tomatoes, celery, spinach, onion, basil leaves, vinegar and lemon juice. Season to taste with pepper and mix gently.</p>
<p>Heat a skillet over a medium-high heat. Cook the salmon skin-side down in the hot pan for 3 to 4 minutes. Carefully flip over and cook for another 3 to 4 minutes, or to your liking.</p>
<p>Serve salmon alongside zucchini salad for a quick and easy dinner.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">301</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">17 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">3.5 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">47 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">118 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">17.5 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">5.2 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">8.9 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">22.3 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=6a10dc06-0346-475d-82a5-b50c43009cbc&w=700"");"
